Anomalisa^2015^Duke Johnson^David Thewlis, Jennifer Jason Leigh, Tom Noonan
Wild Tales^2015^Damián Szifron^Dar\xc3\xado Grandinetti, Mar\xc3\xada Marull, M\xc3\xb3nica Villa
Listen To Me Marlon^2015^Stevan Riley^Marlon Brando, Stella Adler, Bernardo Bertolucci
Hitchcock/Truffaut^2015^Kent Jones^Mathieu Amalric, Wes Anderson, Peter Bogdanovich
Ingrid Bergman in Her Own Words (Jag är Ingrid)^2015^Stig Björkman^Ingrid Bergman, Alicia Vikander, Pia Lindstr\xc3\xb6m
The Big Short^2015^Adam McKay^Christian Bale, Steve Carell, Ryan Gosling
The Diary Of A Teenage Girl^2015^Marielle Heller^Bel Powley, Alexander Skarsg\xc3\xa5rd, Kristen Wiig
Jafar Panahi's Taxi^2015^Jafar Panahi^
Finders Keepers^2015^Alexander Yellen^Jaime Pressly, Patrick Muldoon, Tobin Bell
Red Army^2015^Gabe Polsky^Viacheslav Fetisov, Scotty Bowman, Herb Brooks
Theeb^2015^Naji Abu Nowar^Jacir Eid Al-Hwietat, Hussein Salameh Al-Sweilhiyeen, Hassan Mutlag Al-Maraiyeh
Welcome To Leith^2015^Michael Beach Nichols^Craig Cobb, Ryan Lenz, Amber Schatz
The Second Mother (Que Horas Ela Volta?)^2015^Anna Muylaert^Regina Cas\xc3\xa9, Helena Albergaria, Michel Joelsas
The Gift^2015^Joel Edgerton^Jason Bateman, Rebecca Hall, Joel Edgerton
Love &amp; Mercy^2015^Gaspar Noé^Aomi Muyock, Karl Glusman, Klara Kristin
Girlhood^2015^Céline Sciamma^Karidja Tour\xc3\xa9, Assa Sylla, Lindsay Karamoh
Grandma^2015^Paul Weitz^Lily Tomlin, Julia Garner, Marcia Gay Harden
Best Of Enemies^2015^Robert Gordon^Gore Vidal, William F. Buckley, Dick Cavett
The Salt of the Earth^2015^Juliano Ribeiro Salgado^Sebasti\xc3\xa3o Salgado, Wim Wenders, L\xc3\xa9lia Wanick Salgado
Slow West^2015^John Maclean^Kodi Smit-McPhee, Caren Pistorius, Aorere Paki
Appropriate Behavior^2015^Desiree Akhavan^Desiree Akhavan, Rebecca Henderson, Halley Feiffer
In Jackson Heights^2015^Frederick Wiseman^
99 Homes^2015^Ramin Bahrani^Andrew Garfield, Michael Shannon, Laura Dern
Going Clear: Scientology and the Prison of Belief^2015^Alex Gibney^Paul Haggis, Jason Beghe, Spanky Taylor
A Most Violent Year^2015^J.C. Chandor^Oscar Isaac, Jessica Chastain, David Oyelowo
The Wonders^2015^Tom Hanks^Tom Hanks, Liv Tyler, Charlize Theron
Steve Jobs^2015^Danny Boyle^Michael Fassbender, Kate Winslet, Seth Rogen
The Forbidden Room^2015^Guy Maddin^Roy Dupuis, Clara Furey, Louis Negin
The End Of The Tour^2015^James Ponsoldt^Jason Segel, Jesse Eisenberg, Anna Chlumsky
We Are Still Here^2015^Ted Geoghegan^Barbara Crampton, Andrew Sensenig, Lisa Marie
The Duke Of Burgundy^2015^Peter Strickland^Sidse Babett Knudsen, Monica Swinn, Chiara DAnna
The Wrecking Crew^2015^Phil Karlson^Dean Martin, Elke Sommer, Sharon Tate
I'll See You in My Dreams^2015^Brett Haley^Blythe Danner, Martin Starr, Sam Elliott
Trainwreck^2015^Judd Apatow^Amy Schumer, Bill Hader, Brie Larson
Clouds of Sils Maria^2015^Olivier Assayas^Juliette Binoche, Kristen Stewart, Chlo\xc3\xab Grace Moretz
Beasts of No Nation^2015^Cary Fukunaga^Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor
Boy and the World (O Menino e o Mundo)^2015^Alê Abreu^Vinicius Garcia, Marco Aur\xc3\xa9lio Campos, Lu Horta
Disneynature Monkey Kingdom^2015^unknown^unknown
Mr. Holmes^2015^Bill Condon^Ian McKellen, Laura Linney, Hiroyuki Sanada
Straight Outta Compton^2015^F. Gary Gray^OShea Jackson Jr., Corey Hawkins, Jason Mitchell
Güeros^2015^Alonso Ruizpalacios^Tenoch Huerta, Sebasti\xc3\xa1n Aguirre, Ilse Salas
Janis: Little Girl Blue^2015^Amy Berg^Cat Power, Janis Joplin, Karleen Bennett
The Hunting Ground^2015^Kirby Dick^Andrea Pino, Annie Clark, Claire Potter
The Black Panthers: Vanguard Of The Revolution^2015^Stanley Nelson^Angela Arnold, Erica Ball, Rhon G. Flatts
Queen of Earth^2015^Alex Ross Perry^Elisabeth Moss, Katherine Waterston, Patrick Fugit
The Lady In The Van^2015^Nicholas Hytner^Maggie Smith, Alex Jennings, Jim Broadbent
When Marnie Was There^2015^Hiromasa Yonebayashi^Sara Takatsuki, Kasumi Arimura, Nanako Matsushima
The Pearl Button (El botón de nácar)^2015^Patricio Guzmán^Patricio Guzm\xc3\xa1n, Ra\xc3\xbal Zurita
Peggy Guggenheim: Art Addict^2015^Lisa Immordino Vreeland^Peggy Guggenheim, Marina Abramovic, Dore Ashton
The Peanuts Movie^2015^Steve Martino^Noah Schnapp, Bill Melendez, Hadley Belle Miller
Still Alice^2015^Richard Glatzer^Julianne Moore, Alec Baldwin, Kristen Stewart
